OpenROAD f9c91ab39bdd6c7c9d36e563fd398e544eaf48d7 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 28 thread(s).
read_liberty /home/nanocoh/dev/ORFS-K/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /home/nanocoh/dev/ORFS-K/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_256x32.lib
read_liberty /home/nanocoh/dev/ORFS-K/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_64x64.lib
read_db ./results/nangate45/mempool_group/base/3_3_place_gp.odb
source /home/nanocoh/dev/ORFS-K/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    165745
     1000 |     +0.0% |       0 |       0 |             0 |    164745
     2000 |     +0.0% |       0 |       0 |             0 |    163745
     3000 |     +0.0% |       0 |       0 |             0 |    162745
     4000 |     +0.0% |       0 |       0 |             0 |    161745
     5000 |     +0.0% |       0 |       0 |             0 |    160745
     6000 |     +0.0% |       0 |       0 |             0 |    159745
     7000 |     +0.0% |       0 |       0 |             0 |    158745
     8000 |     +0.0% |       0 |       0 |             0 |    157745
     9000 |     +0.0% |       0 |       0 |             0 |    156745
    10000 |     +0.0% |       0 |       0 |             0 |    155745
    11000 |     +0.0% |       0 |       0 |             0 |    154745
    12000 |     +0.0% |       0 |       1 |             1 |    153745
    13000 |     +0.0% |       0 |       2 |             2 |    152745
    14000 |     +0.0% |       0 |       2 |             2 |    151745
    15000 |     +0.0% |       0 |       2 |             2 |    150745
    16000 |     +0.0% |       0 |       2 |             2 |    149745
    17000 |     +0.0% |       0 |       2 |             2 |    148745
    18000 |     +0.0% |       0 |       3 |             3 |    147745
    19000 |     +0.0% |       0 |       3 |             3 |    146745
    20000 |     +0.0% |       0 |       3 |             3 |    145745
    21000 |     +0.0% |       0 |       3 |             3 |    144745
    22000 |     +0.0% |       0 |       3 |             3 |    143745
    23000 |     +0.0% |       0 |       3 |             3 |    142745
    24000 |     +0.0% |       0 |       3 |             3 |    141745
    25000 |     +0.0% |       0 |       3 |             3 |    140745
    26000 |     +0.0% |       0 |       3 |             3 |    139745
    27000 |     +0.0% |       0 |       6 |             6 |    138745
    28000 |     +0.0% |       0 |       8 |             8 |    137745
    29000 |     +0.0% |       0 |       8 |             8 |    136745
    30000 |     +0.0% |       0 |       8 |             8 |    135745
    31000 |     +0.0% |       0 |       8 |             8 |    134745
    32000 |     +0.0% |       0 |       9 |             9 |    133745
    33000 |     +0.0% |       0 |       9 |             9 |    132745
    34000 |     +0.0% |       0 |      10 |            10 |    131745
    35000 |     +0.0% |       0 |      10 |            10 |    130745
    36000 |     +0.0% |       0 |      10 |            10 |    129745
    37000 |     +0.0% |       0 |      10 |            10 |    128745
    38000 |     +0.0% |       0 |      11 |            11 |    127745
    39000 |     +0.0% |       0 |      11 |            11 |    126745
    40000 |     +0.0% |       0 |      11 |            11 |    125745
    41000 |     +0.0% |       0 |      11 |            11 |    124745
    42000 |     +0.0% |       0 |      11 |            11 |    123745
    43000 |     +0.0% |       0 |      11 |            11 |    122745
    44000 |     +0.0% |       0 |      11 |            11 |    121745
    45000 |     +0.0% |       0 |      11 |            11 |    120745
    46000 |     +0.0% |       0 |      11 |            11 |    119745
    47000 |     +0.0% |       0 |      11 |            11 |    118745
    48000 |     +0.0% |       0 |      11 |            11 |    117745
    49000 |     +0.0% |       0 |      11 |            11 |    116745
    50000 |     +0.0% |       0 |      11 |            11 |    115745
    51000 |     +0.0% |       0 |      11 |            11 |    114745
    52000 |     +0.0% |       0 |      11 |            11 |    113745
    53000 |     +0.0% |       0 |      11 |            11 |    112745
    54000 |     +0.0% |       0 |      11 |            11 |    111745
    55000 |     +0.0% |       0 |      11 |            11 |    110745
    56000 |     +0.0% |       0 |      11 |            11 |    109745
    57000 |     +0.0% |       0 |      11 |            11 |    108745
    58000 |     +0.0% |       0 |      11 |            11 |    107745
    59000 |     +0.0% |       0 |      11 |            11 |    106745
    60000 |     +0.0% |       0 |      11 |            11 |    105745
    61000 |     +0.0% |       0 |      11 |            11 |    104745
    62000 |     +0.0% |       0 |      11 |            11 |    103745
    63000 |     +0.0% |       0 |      11 |            11 |    102745
    64000 |     +0.0% |       0 |      11 |            11 |    101745
    65000 |     +0.0% |       0 |      11 |            11 |    100745
    66000 |     +0.0% |       0 |      11 |            11 |     99745
    67000 |     +0.0% |       0 |      11 |            11 |     98745
    68000 |     +0.0% |       0 |      11 |            11 |     97745
    69000 |     +0.0% |       0 |      12 |            12 |     96745
    70000 |     +0.0% |       0 |      12 |            12 |     95745
    71000 |     +0.0% |       0 |      12 |            12 |     94745
    72000 |     +0.0% |       0 |      12 |            12 |     93745
    73000 |     +0.0% |       0 |      12 |            12 |     92745
    74000 |     +0.0% |       0 |      12 |            12 |     91745
    75000 |     +0.0% |       0 |      12 |            12 |     90745
    76000 |     +0.0% |       0 |      12 |            12 |     89745
