OpenROAD 701085d1e57df45a6aee387c04309628e0233ba8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 28 thread(s).
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_512x64.lib
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_256x95.lib
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_64x7.lib
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_64x15.lib
read_liberty /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/lib/fakeram45_64x96.lib
read_db ./results/nangate45/bp/base/3_3_place_gp.odb
source /home/nanocoh/dev/ORFS-K/try/OpenROAD-flow-scripts-KF/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 7 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    274803
     1000 |     +0.0% |       0 |       0 |             0 |    273803
     2000 |     +0.0% |       0 |       0 |             0 |    272803
     3000 |     +0.0% |       0 |       0 |             0 |    271803
     4000 |     +0.0% |       0 |       0 |             0 |    270803
     5000 |     +0.0% |       0 |       0 |             0 |    269803
     6000 |     +0.0% |       0 |       0 |             0 |    268803
     7000 |     +0.0% |       0 |       0 |             0 |    267803
     8000 |     +0.0% |       0 |       0 |             0 |    266803
     9000 |     +0.0% |       0 |       0 |             0 |    265803
    10000 |     +0.0% |       0 |       0 |             0 |    264803
    11000 |     +0.0% |       0 |       0 |             0 |    263803
    12000 |     +0.0% |       0 |       0 |             0 |    262803
    13000 |     +0.0% |       0 |       0 |             0 |    261803
    14000 |     +0.0% |       0 |       0 |             2 |    260803
    15000 |     +0.0% |       0 |       0 |             2 |    259803
    16000 |     +0.0% |       0 |       0 |             2 |    258803
    17000 |     +0.0% |       0 |       0 |             2 |    257803
    18000 |     +0.0% |       0 |       0 |             2 |    256803
    19000 |     +0.0% |       0 |       0 |             2 |    255803
    20000 |     +0.0% |       0 |       0 |             2 |    254803
    21000 |     +0.0% |       0 |       1 |             3 |    253803
    22000 |     +0.0% |       0 |       1 |             3 |    252803
    23000 |     +0.0% |       0 |       1 |             3 |    251803
    24000 |     +0.0% |       0 |       1 |             3 |    250803
    25000 |     +0.0% |       0 |       1 |             3 |    249803
    26000 |     +0.0% |       0 |       1 |             3 |    248803
    27000 |     +0.0% |       0 |       1 |             3 |    247803
    28000 |     +0.0% |       0 |       1 |             3 |    246803
    29000 |     +0.0% |       0 |       1 |             3 |    245803
    30000 |     +0.0% |       0 |       1 |             3 |    244803
    31000 |     +0.0% |       0 |       1 |             3 |    243803
    32000 |     +0.0% |       0 |       1 |             3 |    242803
    33000 |     +0.0% |       0 |       1 |             3 |    241803
    34000 |     +0.0% |       0 |       1 |             3 |    240803
    35000 |     +0.0% |       0 |       1 |             3 |    239803
    36000 |     +0.0% |       0 |       1 |             3 |    238803
    37000 |     +0.0% |       0 |       1 |             3 |    237803
    38000 |     +0.0% |       0 |       2 |             4 |    236803
    39000 |     +0.0% |       0 |       2 |             4 |    235803
    40000 |     +0.0% |       0 |       2 |             4 |    234803
    41000 |     +0.0% |       0 |       2 |             4 |    233803
    42000 |     +0.0% |       0 |       2 |             4 |    232803
    43000 |     +0.0% |       0 |       2 |             4 |    231803
    44000 |     +0.0% |       0 |       2 |             4 |    230803
    45000 |     +0.0% |       0 |       2 |             4 |    229803
    46000 |     +0.0% |       0 |       2 |             4 |    228803
    47000 |     +0.0% |       0 |       2 |             4 |    227803
    48000 |     +0.0% |       0 |       2 |             4 |    226803
    49000 |     +0.0% |       0 |       2 |             4 |    225803
    50000 |     +0.0% |       0 |       2 |             4 |    224803
    51000 |     +0.0% |       0 |       2 |             4 |    223803
    52000 |     +0.0% |       0 |       2 |             4 |    222803
    53000 |     +0.0% |       0 |       2 |             4 |    221803
    54000 |     +0.0% |       0 |       2 |             4 |    220803
    55000 |     +0.0% |       0 |       2 |             4 |    219803
    56000 |     +0.0% |       0 |       2 |             4 |    218803
    57000 |     +0.0% |       0 |       2 |             4 |    217803
    58000 |     +0.0% |       0 |       4 |            11 |    216803
    59000 |     +0.0% |       0 |       4 |            11 |    215803
    60000 |     +0.0% |       0 |       4 |            11 |    214803
    61000 |     +0.0% |       0 |       4 |            11 |    213803
